class,org,org_type,pi_first,pi_sur,title,pclass,status,owner,end,grant,scheme,start,total
Med.Instrument.Device& Equip.,College of Occupational Therapists,PROJECT PARTNER,Colette,Nicolle,i~design 3: extending active living through more effective inclusive design,Medical & health interface,Closed,EPSRC,4/30/2011,Research Grant,Standard Research,11/1/2006,261901.56
Climate & Climate Change,University of Leicester,LEAD ORGANISATION,Keith,Shine,Continuum Absorption at Visible and Infrared Wavelengths and its Atmospheric Relevance (CAVIAR),Climate & climate change,Closed,NERC,6/30/2011,Research Grant,Consortiums (FEC),11/1/2006,126342.5
Light-Matter Interactions,Max Planck Institute for the Physics of Complex Systems,COLLABORATOR,Matthew,Jones,Charge delocalisation and hopping in an ultra-cold atomic lattice,Atomic & molecular physics,Closed,EPSRC,10/31/2011,Fellowship,Advanced Fellowship,11/1/2006,543326.39
Materials testing & eng.,University of Sheffield,LEAD ORGANISATION,Keith,Worden,Uncertainty Propagation in Structures; Systems and Processes,Civil eng. & built environment,Closed,EPSRC,10/31/2011,Research Grant,Platform Grants,11/1/2006,731635.51
Materials testing & eng.,Security Composites Ltd,PROJECT PARTNER,Alexander,Bismarck,'Intelligent Adapters': A New Paradigm in Multifunctional Polymer NanoComposite Engineering,Civil eng. & built environment,Closed,EPSRC,10/31/2011,Research Grant,Standard Research,11/1/2006,915468.68
Materials Processing,Cenamps,PROJECT PARTNER,Sarah,Olsen,Nanometre Strain Evaluation for Future and Emerging Technologies,Materials processing,Closed,EPSRC,5/1/2009,Research Grant,First Grant Scheme Pre-FEC,11/2/2006,121568.28
Magnetism/Magnetic Phenomena,University of Dundee,LEAD ORGANISATION,Alfred,Cuschieri,Ferromagnetic implantation in human tissues,"Supercond, magn. &quant.fluids",Closed,EPSRC,11/5/2007,Research Grant,Standard Research,11/6/2006,109915.53
Optical Devices & Subsystems,Aston University,LEAD ORGANISATION,Sergei,Turitsyn,Application of Nonlinear Integrable Systems to Optical Data Processing; Transmission and Detection.,Electrical engineering,Closed,EPSRC,11/5/2009,Research Grant,Standard Research (Pre-FEC),11/6/2006,163573.25
Materials Characterisation,University of Cambridge,LEAD ORGANISATION,Siddharth,Saxena,Exploring New Graphitic Superconductors: Charge Transfer; Excitations and Dimensionality,Materials sciences,Closed,EPSRC,5/9/2009,Research Grant,Standard Research,11/10/2006,84439.26
Catalysis & Applied Catalysis,University of Liverpool,LEAD ORGANISATION,Neil,Winterton,Engineering the convergence of chemistry and biology: resolving the incompatibility of bio- and chemical catalysis,Catalysis & surfaces,Closed,EPSRC,11/12/2007,Research Grant,Standard Research,11/13/2006,90780.84
Materials Synthesis & Growth,University of Bristol,LEAD ORGANISATION,David,Cherns,Growth of thick and flat high quality GaN using nano-column compliant layers,Materials sciences,Closed,EPSRC,4/12/2009,Research Grant,Standard Research,11/13/2006,188021.82
Medical science & disease,University of Cambridge,LEAD ORGANISATION,Ruth,Cameron,Bioactive Biodegradable Nano-Composite (BBNC) Materials for Regnerative Medicine,Medical & health interface,Closed,EPSRC,8/12/2010,Research Grant,Technology Programme,11/13/2006,364750.02
Instrumentation Eng. & Dev.,University of Glasgow,LEAD ORGANISATION,Alan,Craven,SuperSTEM - the UK aberration-corrected STEM facility,Chemical measurement,Closed,EPSRC,11/13/2011,Research Grant,Standard Research (Pre-FEC),11/14/2006,574018.1264
Optical Phenomena,Cardiff University,LEAD ORGANISATION,Wolfgang,Langbein,Novel Multiphoton Microscopy for Imaging in Cell Biology based on Resonant Nonlinear Optics of Quantum Dots,"Optics, photonics & lasers",Closed,EPSRC,5/14/2008,Research Grant,Standard Research,11/15/2006,136932.17
Materials Characterisation,The University of Manchester,LEAD ORGANISATION,Robert,Cottis,Enhancing the Performance of Pulsed Current Applied Coatings for Corrosion Protection,Materials sciences,Closed,EPSRC,3/16/2010,Research Grant,Technology Programme,11/17/2006,108139.68
Condensed Matter Physics,Aberystwyth University,LEAD ORGANISATION,Martin,Wilding,The structure of liquids under extreme conditions,"Supercond, magn. &quant.fluids",Closed,EPSRC,11/18/2008,Research Grant,Overseas Travel Grants (OTGS),11/19/2006,20579.88
Materials Characterisation,Thomas Swan Scientific Equipment Ltd,PROJECT PARTNER,Jan,Evans-Freeman,Materials Challenges in GaN-based Light Emitting Structures,Materials sciences,Closed,EPSRC,2/26/2010,Research Grant,Standard Research,11/27/2006,114103.88
Instrumentation Eng. & Dev.,The University of Manchester,LEAD ORGANISATION,Brian,Derby,Direct Write -Elements And Systems (DW-EASY),Chemical measurement,Closed,EPSRC,5/26/2010,Research Grant,Technology Programme,11/27/2006,310666.89
Tissue engineering,University of Oxford,LEAD ORGANISATION,Zhong,You,Novel Functional Nanocomposite Engineering of Stents,Medical & health interface,Closed,EPSRC,11/29/2011,Research Grant,Standard Research,11/30/2006,273632
Cold Atomic Species,University of Oxford,LEAD ORGANISATION,Thorsten,Koehler,Pairing and Molecule Formation in Cold Atomic Bose and Fermi Gases,Atomic & molecular physics,Closed,EPSRC,8/31/2007,Research Grant,Standard Research,12/1/2006,916644.25
RF & Microwave Technology,STFC - Laboratories,PROJECT PARTNER,Y,Hao,Follow On: Electromagnetic BandGap Enhanced Active Conical Horn Antenna Arrays,Info. & commun. Technol.,Closed,EPSRC,11/30/2007,Research Grant,Follow on Fund,12/1/2006,48111.85
Materials Characterisation,University of Nottingham,LEAD ORGANISATION,Paul,Brown,Chemical profiling of biological cell / engineering alloy interactions,Materials sciences,Closed,EPSRC,5/31/2008,Research Grant,Standard Research,12/1/2006,160003.72
Energy Storage,CMP Batteries,COLLABORATOR,David,Stone,Advanced Cell State of Function Models for HEV operation,Energy,Closed,EPSRC,11/30/2008,Research Grant,Standard Research,12/1/2006,147957.49
Condensed Matter Physics,University of Nottingham,LEAD ORGANISATION,Denzil,Rodrigues,Signals of Quantum Behaviour in Nanomechanical Systems: Non-linear Effects,"Supercond, magn. &quant.fluids",Closed,EPSRC,11/30/2009,Fellowship,Postdoc Research Fellowship,12/1/2006,218069.5
Electronic Devices & Subsys.,Imperial College London,LEAD ORGANISATION,Kristel,Fobelets,Novel nano-scale Screen-grid FET technology for ultra low power applications,Info. & commun. Technol.,Closed,EPSRC,11/30/2009,Research Grant,Standard Research,12/1/2006,144472.01
Biomedical neuroscience,Newcastle University,LEAD ORGANISATION,Adrian,Rees,Midbrain Computational and Robotic Auditory Model for focused hearing (MiCRAM),Medical & health interface,Closed,EPSRC,11/30/2009,Research Grant,Standard Research (Pre-FEC),12/1/2006,150711.2076
Fundamentals of Computing,Beatson Institute for Cancer Research,PROJECT PARTNER,Jane,Hillston,Process Algebra Approaches to Collective Dynamics,Info. & commun. Technol.,Closed,EPSRC,11/30/2009,Research Grant,Standard Research (Pre-FEC),12/1/2006,215739.8
Vision & Senses - ICT appl.,BBSRC,COFUNDER,Nicholas,Costen,Cognitive Systems Foresight: Human and computer face recognition from video sequences,Info. & commun. Technol.,Closed,EPSRC,5/31/2010,Research Grant,Standard Research (Pre-FEC),12/1/2006,185913.79
Medical science & disease,Faculty of Science,COLLABORATOR,Herbie,Newell,FLIC - Functional Ligands for Imaging in Cancer,Medical & health interface,Closed,EPSRC,11/30/2010,Research Grant,Platform Grants,12/1/2006,418330.6
Electronic Devices & Subsys.,Wolfson Microelectronics,COLLABORATOR,Alan,Murray,Meeting the design challenges of the nano-CMOS electronics,Info. & commun. Technol.,Closed,EPSRC,2/28/2011,Research Grant,Standard Research,12/1/2006,620922.89
Fundamentals of Computing,Qinetiq Ltd,PROJECT PARTNER,Ian,Sommerville,Interdisciplinary Design and Evaluation of Dependability (INDEED),Info. & commun. Technol.,Closed,EPSRC,2/28/2011,Research Grant,Standard Research,12/1/2006,359011.53
Materials Characterisation,Loughborough University,LEAD ORGANISATION,Sergey,Saveliev,Controlling vortex motion and THz radiation in high temperature superconductors.,Materials sciences,Closed,EPSRC,11/30/2011,Fellowship,Advanced Fellowship,12/1/2006,481257.59
Power Electronics,Newcastle University,LEAD ORGANISATION,Nicholas,Wright,Technologies for SiC electronics and sensors in extreme environments,Electrical engineering,Closed,EPSRC,11/30/2011,Research Grant,Platform Grants,12/1/2006,510385.36
Materials Synthesis & Growth,CNRS,PROJECT PARTNER,Alain,Nogaret,Nanoscale Microwave Sources Based on Planar Spin Oscillators for Integrating Wireless Communications on the Computing Platform,Materials sciences,Closed,EPSRC,3/3/2010,Research Grant,Standard Research,12/4/2006,463447.39
Med.Instrument.Device& Equip.,Loughborough University,LEAD ORGANISATION,Roy,Kalawsky,Bridging the Gap -Enabling a strategic and long lasting alliance between academic research staff at Loughborough University,Medical & health interface,Closed,EPSRC,6/3/2010,Research Grant,Standard Research,12/4/2006,194279.97
Materials Characterisation,University of Hull,LEAD ORGANISATION,Michael,Hird,The British Liquid Crystal Society Annual Winter Workshop,Materials sciences,Closed,EPSRC,12/5/2009,Research Grant,Standard Research,12/6/2006,42305.09
Fundamentals of Computing,Radboud University Nijmegen,COLLABORATOR,Rodolfo,Gomez,Addressing Current Limitations of Real-time Model-checking,Info. & commun. Technol.,Closed,EPSRC,12/6/2009,Fellowship,Postdoc Research Fellowship,12/7/2006,169551.87
Solar Technology,Shanghai Jiao Tong University,PROJECT PARTNER,Robin,Wallace,International Networking for Young Scientists Working on Renewable Energy - China:UK Partnership - Revision 3,Energy,Closed,EPSRC,6/7/2007,Research Grant,Standard Research,12/8/2006,10714.4
Ecosystem Scale Processes,University of Edinburgh,LEAD ORGANISATION,Yadvinder,Malhi,A detailed assessment of ecosystem carbon dynamics along an elevation transect in the Andes,Terrest. & freshwater environ.,Closed,NERC,12/12/2009,Research Grant,Standard Grant (FEC),12/13/2006,196787.21
Tropospheric Processes,University of East Anglia,LEAD ORGANISATION,Gillian,Malin,Investigation of Near-Surface Production of Iodocarbons - Rates and Exchange (INSPIRE),Atmospheric phys. & chemistry,Closed,NERC,1/15/2011,Research Grant,Directed Pre FEC,12/16/2006,132419.39
Optoelect. Devices & Circuits,Oclaro,COLLABORATOR,Chee Hing,Tan,Novel InGaAs/InAlAs travelling wave avalanche photodiode for ultra high speed photonic applications,Electrical engineering,Closed,EPSRC,6/21/2010,Research Grant,Standard Research,12/22/2006,170584.3
Sustainable Energy Vectors,University of Bath,LEAD ORGANISATION,Haifeng,Wang,Network of Leading UK SUPERGEN and Chinese Institutions in Energy Research,Energy,Closed,EPSRC,8/31/2007,Research Grant,Standard Research,1/1/2007,202257.63
Multiphase Flow,University of Cambridge,LEAD ORGANISATION,Malcolm,Mackley,Follow On: Plastic Microcapillary Film Development,Process engineering,Closed,EPSRC,12/31/2007,Research Grant,Follow on Fund,1/1/2007,86510.19
Surfaces & Interfaces,UK Sport,PROJECT PARTNER,Glen,McHale,Enhancing Water Sports Performance,Catalysis & surfaces,Closed,EPSRC,3/31/2008,Research Grant,Standard Research,1/1/2007,110368.57
Sustainable Energy Networks,Queen's University of Belfast,LEAD ORGANISATION,Tim,Littler,Smart Grid Oscillation Management for a Changing Generation Mix,Energy,Closed,EPSRC,6/30/2008,Research Grant,Technology Programme,1/1/2007,60772.66
Biological membranes,King's College London,LEAD ORGANISATION,Carla,Molteni,OPENING ION CHANNELS WITH A TRANS-CIS PROLINE SWITCH: A COMPUTATIONAL METADYNAMICS STUDY,Biomolecules & biochemistry,Closed,EPSRC,9/30/2008,Research Grant,Standard Research,1/1/2007,147385.34
Bioenergy,University of Duisburg-Essen,PROJECT PARTNER,Hao,LIU,Small Scale Biomass-Fired CHP System,Atomic & molecular physics,Closed,EPSRC,10/31/2008,Research Grant,Standard Research,1/1/2007,134975.72
Heat & Mass Transfer,Thermacore Europe,COLLABORATOR,John,Rose,Boiling and Condensation in Microchannels,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research (Pre-FEC),1/1/2007,172735.69
Fluid Dynamics,The University of Manchester,LEAD ORGANISATION,Thomas,Mullin,Bifurcation phenomena in the flow through a sudden expansion in a pipe.,Process engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research,1/1/2007,158731.28
Water In The Atmosphere,University of Oxford,LEAD ORGANISATION,Patrick,McSharry,Quantifying Flood Risk of Extreme Events using Density Forecasts Based on a New Digital Archive and Weather Ensemble Predictions,Atmospheric phys. & chemistry,Closed,NERC,12/31/2008,Research Grant,Directed (Research Programmes),1/1/2007,192175.05
Acoustics,British Nuclear Fuels plc,PROJECT PARTNER,Peter,Cawley,Compact thermosonic NDE system,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research,1/1/2007,192738.55
Acoustics,The Home Office,PROJECT PARTNER,Gui Yun,Tian,Deployable sensors for concealed gun detection at a standoff distances.,Mechanical engineering,Closed,EPSRC,12/31/2008,Research Grant,Standard Research,1/1/2007,111834.72
Bioenergy,Biofuels Corporation PLC,PROJECT PARTNER,Jane,Clarke,Rapemeal valorisation: improving the economics of biodiesel manufacture,Atomic & molecular physics,Closed,EPSRC,6/30/2009,Research Grant,Technology Programme,1/1/2007,61302.62
Acoustics,Newcastle University,LEAD ORGANISATION,Gui Yun,Tian,Instrument for Soundscape Recognition; Identification and Evaluation,Mechanical engineering,Closed,EPSRC,9/30/2009,Research Grant,Standard Research,1/1/2007,177017.7
Catalysis & Applied Catalysis,MCP Equipment,COLLABORATOR,Jas Pal,Badyal,Engineering Functional Materials for Catalytic Smart Microreactors,Catalysis & surfaces,Closed,EPSRC,12/31/2009,Research Grant,Standard Research,1/1/2007,158811.08
Instrumentation Eng. & Dev.,University of Birmingham,LEAD ORGANISATION,Lynne,Macaskie,Novel MR Selective Imaging of Transport and Growth in Biofilms,Chemical measurement,Closed,EPSRC,12/31/2009,Research Grant,Standard Research,1/1/2007,266492.62
Electronic Devices & Subsys.,University of Cambridge,LEAD ORGANISATION,Bill,Milne,Device Electronics Based on nanoWires and NanoTubes,Info. & commun. Technol.,Closed,EPSRC,12/31/2009,Research Grant,Standard Research,1/1/2007,329641.38
Lasers & Optics,University of Strathclyde,LEAD ORGANISATION,David,Burns,Advanced Disk Lasers: A New Horizon in Solid-State and Semiconductor Laser Design,"Optics, photonics & lasers",Closed,EPSRC,12/31/2009,Research Grant,Standard Research,1/1/2007,326664.85
Climate & Climate Change,Newcastle University,LEAD ORGANISATION,Erin,McClymont,The millennial-scale response and impact of climate variability in the eastern tropical Pacific to changing climate boundary conditions,Climate & climate change,Closed,NERC,12/31/2009,Research Grant,New Investigators (FEC),1/1/2007,60805.2
RF & Microwave Technology,National Semiconductor,PROJECT PARTNER,George Alastair,Armstrong,Novel Device; Circuit and System Design Concepts utilising Innovative Nanoscale CMOS Devices for Low Voltage Analog/RF Applications,Info. & commun. Technol.,Closed,EPSRC,12/31/2009,Research Grant,Standard Research,1/1/2007,301978.28
RF & Microwave Technology,Home Office,COLLABORATOR,John,Batchelor,Frequency Selective Surfaces for Long Wavelengths,Info. & commun. Technol.,Closed,EPSRC,3/31/2010,Research Grant,Standard Research,1/1/2007,322909.74
Plasmas - Technological,Teer Coatings Ltd,COLLABORATOR,Peter,Kelly,Dual Source Pulsed Plasmas for the Production of Ultra-High Performance Coatings,Plasma physics,Closed,EPSRC,3/31/2010,Research Grant,Standard Research,1/1/2007,196370.38
Optical Communications,University College London (UCL),COLLABORATOR,Anatoly,Zayats,Surface plasmon devices for applications in communication and signal processing,Info. & commun. Technol.,Closed,EPSRC,5/31/2010,Research Grant,Standard Research,1/1/2007,319157.2
Vision & Senses - ICT appl.,University of Southampton,LEAD ORGANISATION,Stephen,Beeby,Otoacoustic Emission Based Biometric Systems,Info. & commun. Technol.,Closed,EPSRC,6/30/2010,Research Grant,Standard Research,1/1/2007,356648.19
Surfaces & Interfaces,University College London,LEAD ORGANISATION,Ivan,Parkin,Chemical Vapour Deposition for the Generation of Visible Light Activated Antimicrobial Coatings,Catalysis & surfaces,Closed,EPSRC,12/31/2010,Research Grant,Standard Research,1/1/2007,443479.46
Materials Synthesis & Growth,University College London,LEAD ORGANISATION,Paul,McMillan,High pressure chemistry of solids and liquids,Materials sciences,Closed,EPSRC,12/31/2011,Fellowship,Senior Fellowship,1/1/2007,1139283.28
